scale,sample,group,word_length_dist,function_word_freq,char_ngrams,word_bigrams,sentence_stats,punct_dist,ttr,hapax_ratio,weighted_total
1k,杨戴/社戏__chunk002,杨戴,0.996573,0.936394,0.886687,0.720131,0.799795,0.986996,0.952792,0.924535,0.902464
1k,杨戴/社戏__chunk003,杨戴,0.996380,0.910655,0.858670,0.816040,0.882764,0.991064,0.982287,0.961611,0.921419
1k,杨戴/社戏__chunk004,杨戴,0.997872,0.928885,0.890390,0.722496,0.881377,0.984771,0.988433,0.975095,0.914798
1k,杨戴/祝福__chunk001,杨戴,0.995156,0.941945,0.860674,0.793878,0.801799,0.994468,0.918927,0.849374,0.907926
1k,杨戴/祝福__chunk002,杨戴,0.987386,0.832710,0.865758,0.628279,0.886734,0.976186,0.955168,0.910089,0.862204
1k,杨戴/祝福__chunk003,杨戴,0.991642,0.854284,0.884705,0.621623,0.751811,0.985035,0.990279,0.988914,0.864338
1k,杨戴/祝福__chunk004,杨戴,0.993210,0.902339,0.895905,0.645707,0.891155,0.994395,0.888639,0.783688,0.877997
1k,杨戴/祝福__chunk005,杨戴,0.992226,0.912648,0.908976,0.762608,0.887601,0.995831,0.948989,0.918230,0.911802
1k,杨戴/祝福__chunk006,杨戴,0.994467,0.911711,0.887753,0.706470,0.732794,0.976691,0.926656,0.892032,0.880368
1k,杨戴/祝福__chunk007,杨戴,0.994021,0.875005,0.898502,0.565447,0.951343,0.992328,0.957544,0.949815,0.878874
1k,杨戴/离婚__chunk001,杨戴,0.987489,0.936763,0.846602,0.573335,0.691358,0.945580,0.959920,0.910089,0.860577
1k,杨戴/离婚__chunk002,杨戴,0.995161,0.953009,0.874363,0.717646,0.880796,0.977732,0.997318,0.988914,0.920701
1k,杨戴/离婚__chunk003,杨戴,0.997825,0.958127,0.765842,0.737815,0.760110,0.982358,0.992614,0.961445,0.906883
1k,杨戴/肥皂__chunk001,杨戴,0.997322,0.909889,0.878121,0.683371,0.911100,0.944837,0.972284,0.986937,0.898521
1k,杨戴/肥皂__chunk002,杨戴,0.997390,0.938593,0.902187,0.581607,0.687773,0.988634,0.979083,0.956202,0.876458
1k,杨戴/肥皂__chunk003,杨戴,0.995514,0.918281,0.861656,0.696903,0.746010,0.883396,0.979404,0.950003,0.875205
1k,杨戴/肥皂__chunk004,杨戴,0.994459,0.956684,0.908172,0.740486,0.745866,0.941139,0.978764,0.999625,0.906548
1k,杨戴/药__chunk001,杨戴,0.990110,0.935210,0.894834,0.728691,0.840168,0.999149,0.938499,0.922064,0.907461
1k,杨戴/药__chunk002,杨戴,0.987425,0.938207,0.891423,0.652382,0.709279,0.984890,0.987954,0.989541,0.889567
1k,杨戴/药__chunk003,杨戴,0.994813,0.931645,0.861479,0.740864,0.791677,0.996388,0.967513,0.932310,0.905171
1k,杨戴/铸剑__chunk001,杨戴,0.997943,0.943038,0.893826,0.852994,0.761937,0.957829,0.963086,0.945038,0.918775
1k,杨戴/铸剑__chunk002,杨戴,0.996041,0.928804,0.884493,0.716146,0.754640,0.950752,0.981045,0.988914,0.895519
1k,杨戴/铸剑__chunk003,杨戴,0.997144,0.924746,0.878553,0.704083,0.812145,0.980684,0.934328,0.867145,0.891785
1k,杨戴/铸剑__chunk004,杨戴,0.996227,0.911942,0.868415,0.666012,0.803142,0.995752,0.966546,0.934524,0.889586
1k,杨戴/铸剑__chunk005,杨戴,0.994809,0.940950,0.853252,0.682471,0.704526,0.993707,0.990809,0.993153,0.895046
1k,杨戴/铸剑__chunk006,杨戴,0.993394,0.879786,0.816549,0.491845,0.831745,0.994535,0.992614,0.964795,0.857735
1k,杨戴/铸剑__chunk007,杨戴,0.988794,0.897481,0.882153,0.654645,0.910618,0.987829,0.937503,0.907536,0.888791
