,杨戴/伤逝__chunk001,杨戴/伤逝__chunk002,杨戴/在酒楼上__chunk001,杨戴/奔月__chunk001,杨戴/孤独者__chunk001,杨戴/孤独者__chunk002,杨戴/幸福的家庭__chunk001,杨戴/故乡__chunk001,杨戴/明天__chunk001,杨戴/狂人日记__chunk001,杨戴/社戏__chunk001,杨戴/祝福__chunk001,杨戴/祝福__chunk002,杨戴/离婚__chunk001,杨戴/肥皂__chunk001,杨戴/药__chunk001,杨戴/铸剑__chunk001,杨戴/铸剑__chunk002,杨戴/阿Q正传__chunk001,杨戴/阿Q正传__chunk002,杨戴/阿Q正传__chunk003,杨戴/阿Q正传__chunk004,杨戴/风波__chunk001,蓝/伤逝__chunk001,蓝/伤逝__chunk002,蓝/在酒楼上__chunk001,蓝/奔月__chunk001,蓝/孤独者__chunk001,蓝/孤独者__chunk002,蓝/幸福的家庭__chunk001,蓝/故乡__chunk001,蓝/明天__chunk001,蓝/狂人日记__chunk001,蓝/社戏__chunk001,蓝/祝福__chunk001,蓝/祝福__chunk002,蓝/离婚__chunk001,蓝/肥皂__chunk001,蓝/药__chunk001,蓝/铸剑__chunk001,蓝/铸剑__chunk002,蓝/阿Q正传__chunk001,蓝/阿Q正传__chunk002,蓝/阿Q正传__chunk003,蓝/阿Q正传__chunk004,蓝/风波__chunk001
杨戴/风波__chunk001,1.251975,1.150911,1.140223,0.900959,1.003446,1.109196,1.222901,1.022482,1.006034,1.455156,1.032788,0.996070,1.105011,0.850507,0.973030,0.982263,0.998330,1.073099,1.295530,0.974682,0.908936,0.889166,0.000000,1.262306,1.221049,1.099494,1.006271,1.023640,1.070200,1.241513,0.985128,1.008790,1.210352,1.098783,1.085689,1.211498,1.087288,1.060845,1.169661,1.010706,1.172430,1.064369,1.040529,0.897449,1.011902,0.784570
蓝/伤逝__chunk001,0.905196,0.973502,1.023615,1.076699,1.088924,1.067397,1.479984,1.225654,1.250973,1.432166,0.987067,1.050945,1.265751,1.117258,1.055621,1.247606,1.145640,1.318384,1.238348,1.209923,1.187211,1.277665,1.262306,0.000000,0.914166,0.904128,0.960487,1.071417,0.876284,1.323197,0.947233,1.063490,1.171764,0.917242,0.924269,1.108571,1.143964,1.047551,1.221968,1.116311,1.285453,1.154373,1.166594,1.066133,1.065161,1.101962
蓝/伤逝__chunk002,1.126759,0.870872,0.991107,1.195521,1.130971,1.069756,1.478543,1.173748,1.213208,1.369132,1.115541,0.997869,1.256383,1.271257,1.217500,1.266587,1.152190,1.416748,1.472587,1.199950,1.214438,1.264703,1.221049,0.914166,0.000000,1.123812,1.017205,1.149870,0.991668,1.372346,1.084653,1.145719,1.088850,1.080376,0.960497,1.310915,1.169549,1.216234,1.293585,1.125819,1.384422,1.229594,1.206392,1.090306,1.134715,1.105558
蓝/在酒楼上__chunk001,0.970659,1.042140,0.895607,0.939790,0.973140,0.973117,1.361342,1.108112,1.115984,1.359579,0.944381,1.080631,1.235716,1.040495,0.920175,1.075605,0.924857,1.217654,1.298043,1.155534,1.148635,1.155086,1.099494,0.904128,1.123812,0.000000,0.895599,0.847651,0.722273,1.262857,0.801065,0.983896,1.121545,0.966646,0.840101,1.060875,1.089345,0.895786,1.117908,0.970286,1.294909,1.071179,1.024016,1.012118,0.980947,1.015545
蓝/奔月__chunk001,1.236820,1.176273,1.090291,0.603936,1.020749,1.052903,1.236404,1.122298,1.063353,1.503838,1.043482,1.120156,1.224098,1.025775,0.873502,1.013952,0.803236,1.110748,1.311755,1.043004,1.130416,1.000386,1.006271,0.960487,1.017205,0.895599,0.000000,0.930163,0.823105,0.946162,0.850066,0.828595,1.140055,0.931156,0.885739,1.156486,0.959600,0.787099,0.872167,0.679964,1.126145,1.043040,0.939155,0.882571,0.831609,0.779827
蓝/孤独者__chunk001,1.149862,1.197402,1.186968,0.918076,0.751248,0.948703,1.232185,1.036778,1.195698,1.322760,0.999725,1.001646,1.166102,1.004589,0.997385,1.030792,0.948748,1.157843,1.179696,1.009606,1.006689,1.048352,1.023640,1.071417,1.149870,0.847651,0.930163,0.000000,0.663603,1.192093,0.850771,1.028095,1.104398,0.905793,0.816560,1.048106,0.918755,0.917202,1.171930,0.964785,1.059037,1.030009,0.970255,0.748590,0.965891,0.948476
蓝/孤独者__chunk002,1.119075,1.067218,1.031145,0.937755,0.868469,0.791196,1.265938,1.043345,1.149190,1.354916,0.964358,0.974971,1.205847,0.985859,0.962798,1.004362,0.915381,1.132944,1.273500,1.093181,1.086546,1.077177,1.070200,0.876284,0.991668,0.722273,0.823105,0.663603,0.000000,1.136217,0.843572,0.971608,1.055278,0.799467,0.717227,1.076927,0.897082,0.858136,1.045837,0.883393,1.138031,1.068676,0.982031,0.875348,0.903845,0.915372
蓝/幸福的家庭__chunk001,1.409735,1.453417,1.457540,1.110555,1.266428,1.341200,0.820902,1.470966,1.258079,1.621645,1.311082,1.423248,1.556060,1.240328,1.134129,1.163756,1.121669,1.226866,1.443552,1.313861,1.422840,1.380369,1.241513,1.323197,1.372346,1.262857,0.946162,1.192093,1.136217,0.000000,1.237027,1.062122,1.328188,1.185749,1.048988,1.337609,1.120059,0.993926,1.075179,1.043446,1.150849,1.296077,1.241888,1.083607,1.185005,1.042015
蓝/故乡__chunk001,1.063952,1.180430,1.157028,0.863155,0.952771,0.996698,1.388834,0.913379,1.144582,1.345738,0.944968,1.054959,1.311621,0.996481,0.928460,0.996076,0.925566,1.168029,1.311892,1.156763,1.097965,1.126261,0.985128,0.947233,1.084653,0.801065,0.850066,0.850771,0.843572,1.237027,0.000000,0.994633,1.048238,0.911000,0.843117,1.117790,0.966255,0.869830,1.124978,0.966259,1.222773,1.155489,1.003820,0.879485,0.947426,0.924231
蓝/明天__chunk001,1.233093,1.285495,1.171931,1.005140,1.197531,1.215632,1.260590,1.346122,0.908398,1.703052,1.155912,1.181647,1.284124,1.220292,1.113673,1.093107,1.024419,1.165761,1.429898,1.188118,1.204707,1.127543,1.008790,1.063490,1.145719,0.983896,0.828595,1.028095,0.971608,1.062122,0.994633,0.000000,1.258660,0.982462,0.951497,1.075196,1.049451,0.983759,0.968143,0.915826,1.056752,1.103002,0.942109,0.921772,0.972038,0.865524
蓝/狂人日记__chunk001,1.190635,1.246147,1.238828,1.168097,1.065433,1.008796,1.281773,1.172373,1.347455,0.860586,1.212831,1.146442,1.274811,1.071719,1.043139,1.202058,1.193139,1.250163,1.299964,1.246111,1.117988,1.278920,1.210352,1.171764,1.088850,1.121545,1.140055,1.104398,1.055278,1.328188,1.048238,1.258660,0.000000,1.201867,1.057767,1.358672,1.132060,1.159953,1.332335,1.162585,1.370452,1.162117,1.274259,1.095052,1.173866,1.173238
蓝/社戏__chunk001,1.176012,1.195443,1.243219,1.076314,1.076037,1.168452,1.392947,1.238059,1.291286,1.539264,0.776611,1.145805,1.373765,1.103605,1.174430,1.120720,0.954545,1.127787,1.406809,1.197255,1.107191,1.211830,1.098783,0.917242,1.080376,0.966646,0.931156,0.905793,0.799467,1.185749,0.911000,0.982462,1.201867,0.000000,0.833110,1.249725,1.069133,1.006632,1.037809,0.989456,0.981122,1.130673,1.023193,0.824768,0.942413,0.853417
蓝/祝福__chunk001,1.083472,1.145827,1.104543,1.010369,0.912365,1.002912,1.233849,1.103063,1.127151,1.428534,0.903987,0.836880,1.170323,1.043179,0.965024,1.059459,0.950354,1.186382,1.220194,1.053810,1.129503,1.159813,1.085689,0.924269,0.960497,0.840101,0.885739,0.816560,0.717227,1.048988,0.843117,0.951497,1.057767,0.833110,0.000000,1.098897,0.958951,0.859362,1.066656,0.951845,1.044348,1.047431,0.985833,0.824145,0.887283,0.838928
